# VK.com network
87.240.128.0 255.255.192.0
93.186.224.0 255.255.240.0
95.142.192.0 255.255.240.0
95.213.0.0 255.255.192.0
185.32.248.0 255.255.252.0

# Yandex network
5.45.192.0 255.255.192.0
5.255.192.0 255.255.192.0
37.9.64.0 255.255.192.0
37.140.128.0 255.255.192.0
77.88.0.0 255.255.192.0
84.201.128.0 255.255.192.0
87.250.224.0 255.255.224.0
93.158.128.0 255.255.192.0
95.108.128.0 255.255.128.0
100.43.64.0 255.255.224.0
130.193.32.0 255.255.224.0
141.8.128.0 255.255.192.0
178.154.128.0 255.255.128.0
199.21.96.0 255.255.252.0
199.36.240.0 255.255.252.0
213.180.192.0 255.255.224.0

# Mail.ru network
5.61.16.0 255.255.248.0
5.61.232.0 255.255.248.0
79.137.157.0 255.255.255.0
79.137.183.0 255.255.255.0
94.100.176.0 255.255.240.0
95.163.32.0 255.255.224.0
95.163.248.0 255.255.248.0
128.140.168.0 255.255.248.0
178.22.88.0 255.255.248.0
178.237.16.0 255.255.240.0
185.5.136.0 255.255.252.0
185.16.148.0 255.255.252.0
185.16.244.0 255.255.252.0
188.93.56.0 255.255.248.0
194.186.63.0 255.255.255.0
195.211.20.0 255.255.252.0
195.218.168.0 255.255.255.0
217.20.144.0 255.255.240.0
217.69.128.0 255.255.240.0

# Kaspersky network
77.74.176.0 255.255.252.0
77.74.181.0 255.255.255.0
77.74.183.0 255.255.255.0
93.159.228.0 255.255.252.0
185.54.220.0 255.255.254.0
185.85.12.0 255.255.255.0
185.85.14.0 255.255.254.0
